ref_id,SATS_score,GCSE_grade,GCE_AS_grade,Alevel_Maths_grade
1009827,107,6,D,B
1003337,103,5,D,B
1006491,108,5,C,A
1009841,118,7,A,A*
1005976,107,3,C,B
1003381,101,4,C,B
1001607,120,5,B,A*
1004031,109,7,B,A*
1007495,99,4,D,C
1008166,112,7,C,A*
1004799,104,5,D,B
1006654,104,4,E,C
1008268,103,5,D,B
1003177,88,1,U,U
1006023,94,3,U,E
1008140,101,4,C,B
1007637,94,2,E,D
1009686,109,4,B,A
1006516,96,3,D,C
1001283,99,4,E,C
1005217,120,9,A,A*
1000920,105,5,C,B
1002603,110,5,C,A
1003279,94,2,E,D
1002278,103,3,C,B
1003325,110,6,C,A
1003290,97,4,D,C
1001351,107,5,D,B
1004687,95,4,D,C
1009476,102,4,E,C
1003100,103,3,D,C
1006112,120,8,A,A*
1004352,106,4,B,A
1001333,95,3,E,D
1002086,106,7,B,A*
1006022,94,3,E,D
1005589,106,6,D,B
1001968,88,2,E,E
1009219,96,4,E,D
1003040,113,4,C,A
1005523,111,6,B,A*
1001313,106,5,C,B
1001196,103,2,D,C
1006246,103,3,D,C
1006232,91,2,U,E
1008688,100,4,D,C
1007407,103,3,C,B
1000281,114,6,C,A*
1000690,109,6,D,B
1006990,92,1,E,E
1004123,102,4,C,B
1009428,104,4,D,C
1001446,98,3,D,C
1003946,107,4,D,B
1001801,110,7,A,A*
1009190,114,7,C,A*
1000701,98,4,D,C
1004167,97,5,D,C
1008811,109,6,C,A
1005595,108,4,A,A*
1004944,102,4,D,C
1000644,104,4,C,B
1003300,99,2,E,D
1008564,101,3,D,C
1000033,107,5,B,A
1005439,116,5,A,A*
1007110,104,5,C,B
1006081,114,7,B,A*
1001704,109,5,A,A*
1007740,99,3,C,C
1003967,107,6,D,B
1002699,114,8,A,A*
1008881,108,5,C,A
1001996,119,6,A,A*
1005981,87,1,U,U
1006167,111,7,B,A*
1006241,104,6,D,B
1003129,99,4,C,B
1007976,107,5,C,A
1004171,86,2,U,U
1001859,109,5,D,B
1008687,104,5,B,A
1000692,118,5,A,A*
1008925,106,5,D,B
1009234,100,5,E,C
1002323,102,3,E,C
1008333,109,5,C,A
1008966,103,5,D,B
1002709,103,4,D,C
1001447,114,6,B,A*
1000428,104,5,C,B
1007476,109,6,A,A*
1002965,92,3,C,C
1002034,99,5,D,C
1007621,102,5,D,B
1009490,98,3,E,D
1006971,109,4,D,B
1007114,108,7,D,A
1009448,104,3,C,B
1002671,101,5,D,B
1001860,98,1,E,D
1002264,102,3,C,B
1009875,96,5,E,C
1004623,97,4,D,C
1002271,101,4,C,B
1004091,107,5,B,A
1007151,120,8,A,A*
1003711,106,5,C,B
1004884,107,6,B,A*
1009305,108,4,D,B
1005960,88,1,U,U
1004305,110,5,C,A
1009317,103,4,C,B
1003484,120,7,A,A*
1007644,103,5,B,A
1004536,108,5,C,A
1009811,106,5,C,B
1002978,97,2,E,D
1008704,112,7,C,A*
1008972,108,5,B,A
1009735,119,5,A,A*
1004386,96,3,E,D
1007421,118,8,A,A*
1002728,89,3,D,D
1009889,109,6,A,A*
1004432,120,9,A,A*
1007329,98,6,D,B
1003808,92,4,E,D
1003384,106,6,D,B
1008550,98,5,D,C
1008106,94,3,U,E
1005014,102,6,C,A
1004470,94,3,C,C
1001183,108,5,B,A
1000560,94,4,D,C
1000662,116,7,A,A*
1006444,95,4,E,D
1009382,97,5,C,B
1005671,115,6,C,A*
1003390,91,3,D,D
1007040,106,5,C,B
1006368,118,6,B,A*
1003620,90,1,E,E
1001162,104,5,D,B
1005630,108,6,D,B
1000542,115,7,C,A*
1008775,92,2,D,D
1007225,94,2,D,D
1007964,104,6,D,B
1009600,106,3,B,B
1008639,107,5,C,A
1009057,105,4,C,B
1006630,98,5,E,C
1001988,103,4,B,B
1001765,108,6,C,A
1008355,102,5,C,B
1008737,117,7,A,A*
1000019,107,5,B,A
1008317,97,3,E,D
1002935,114,6,B,A*
1009019,93,4,E,D
1004908,111,5,B,A*
1002213,115,7,A,A*
1008084,98,4,D,C
1006976,105,6,A,A*
1000382,110,5,D,B
1009111,116,6,A,A*
1006322,120,7,A,A*
1007296,100,4,D,C
1001815,97,4,D,C
1001675,103,4,D,C
1006305,101,5,D,B
1000344,106,4,D,B
1002256,109,6,B,A*
1001738,105,5,C,B
1004201,111,6,B,A*
1003081,105,5,C,B
1003055,118,7,A,A*
1001484,107,5,D,B
1006153,120,8,A,A*
1001602,106,4,C,B
1005852,99,4,E,C
1004315,99,4,D,C
1004168,111,6,B,A*
1005355,101,4,C,B
1002899,119,6,B,A*
1007029,105,6,B,A
1002447,101,5,C,B
1006267,99,3,E,D
1006744,99,2,E,D
1003005,99,4,D,C
1002088,111,6,B,A*
1006320,110,5,C,A
1003687,95,1,D,D
1003585,105,6,C,A
1000249,110,5,C,A
1001408,99,4,E,C
1004355,109,6,B,A*
1009551,109,3,C,B
1003870,97,3,E,D
1007712,109,5,E,B
1003884,110,5,B,A
1009080,115,6,B,A*
1001207,114,7,B,A*
1004848,94,3,D,C
1006974,101,4,D,C
1008560,114,6,B,A*
1003780,105,4,B,A
1001291,109,4,C,B
1004569,120,9,A,A*
1003221,109,6,B,A*
1008343,115,6,B,A*
1005827,115,6,A,A*
1006607,110,5,C,A
1000957,97,6,C,B
1001537,108,5,C,A
1009404,102,4,C,B
1009095,95,4,B,B
1000469,105,4,D,B
1001491,107,6,B,A*
1006980,120,9,A,A*
1007861,89,2,E,E
1009622,104,6,B,A
1007033,93,3,U,E
1000979,105,4,U,C
1008998,116,6,B,A*
1009408,104,4,C,B
1000661,97,3,D,C
1008044,98,3,D,C
1009824,108,6,B,A*
1004876,102,4,D,C
1000503,103,4,C,B
1008719,103,4,B,B
1007031,96,1,U,E
1001268,118,8,A,A*
1008592,111,6,C,A
1003643,92,2,E,D
1006468,106,7,C,A
1005225,95,4,D,C
1000362,114,6,A,A*
1000331,104,2,E,D
1004336,102,4,C,B
1009100,108,5,C,A
1006103,113,5,A,A*
1005164,100,2,D,C
1000972,101,3,D,C
1009171,97,3,E,D
1002951,102,4,C,B
1006479,120,7,A,A*
1005884,108,5,D,B
1000604,93,3,U,E
1009416,115,7,B,A*
1009049,120,8,A,A*
1003185,111,7,A,A*
1003497,93,2,U,E
1004711,97,3,D,C
1004948,117,7,A,A*
1005047,99,5,E,C
1009266,107,7,D,A
1001657,111,6,B,A*
1000904,98,3,E,D
1002007,107,6,C,A
1004909,81,1,U,U
1004134,96,1,D,D
1005578,105,3,B,B
1006031,96,3,E,D
1006187,117,6,A,A*
1006247,93,2,U,E
1003817,101,3,D,C
1000878,108,5,C,A
1004905,115,7,B,A*
1008125,92,2,E,D
1003675,120,7,B,A*
1004349,108,5,D,B
1008365,95,3,D,C
1002804,110,4,C,B
1007243,107,6,C,A
1008028,101,3,D,C
1005346,106,4,D,B
1006883,105,4,D,B
1008378,107,4,C,B
1004366,110,5,A,A*
1009571,120,7,A,A*
1009924,96,3,D,C
1002183,120,9,A,A*
1001900,90,2,U,E
1005353,104,5,D,B
1000577,110,4,C,B
1009984,105,4,C,B
1000313,98,3,D,C
1008059,100,4,C,B
1002605,97,4,D,C
1004868,98,5,C,B
1004674,111,6,B,A*
1004448,108,5,C,A
1009726,99,3,D,C
1003909,105,7,B,A*
1005027,112,7,B,A*
1000948,115,6,B,A*
1007561,111,6,C,A
1000300,104,4,D,C
1009205,98,4,D,C
1002067,117,5,A,A*
1002133,107,5,C,A
1007674,106,5,D,B
1006326,102,6,C,A
1000139,115,6,A,A*
1009765,101,2,D,C
1009668,109,5,C,A
1002089,106,5,C,B
1003554,104,3,D,C
1004977,112,5,B,A*
1001842,110,6,B,A*
1000100,114,6,A,A*
1001549,113,7,A,A*
1008842,108,4,D,B
1008002,114,5,C,A
1008323,98,5,B,B
1001863,111,4,B,A
1004914,110,6,C,A
1000545,107,4,C,B
1002573,112,6,A,A*
1006921,102,3,E,C
1004150,120,7,A,A*
1007773,97,3,E,D
1003521,91,3,E,D
1008949,115,6,A,A*
1000845,113,7,B,A*
1005951,112,7,C,A*
1007796,113,5,C,A
1003269,103,4,E,C
1005741,96,2,D,D
1004565,111,4,D,B
1004330,99,5,C,B
1005752,113,7,B,A*
1000115,104,4,B,A
1004102,96,3,U,D
1002674,107,5,C,A
1004976,107,7,B,A*
1001403,97,4,C,B
1002904,97,1,E,D
1004038,101,5,C,B
1005878,105,6,B,A
1005626,98,4,D,C
1004890,103,5,D,B
1003812,105,5,C,B
1005634,96,2,D,D
1004730,98,2,C,C
1000849,102,3,D,C
1008191,103,5,C,B
1008815,108,5,C,A
1006377,112,7,A,A*
1009414,111,6,B,A*
1002942,101,6,D,B
1004990,107,5,D,B
1007276,105,2,E,D
1005642,106,5,A,A*
1006351,97,6,C,B
1000379,106,6,C,A
1008894,99,3,E,D
1009947,109,5,B,A
1007894,115,6,A,A*
1009750,105,6,C,A
1008823,104,5,C,B
1004781,108,5,B,A
1006771,104,4,D,C
1002525,104,5,D,B
1006227,107,6,D,B
1008396,102,4,C,B
1005465,104,4,D,C
1004572,103,5,C,B
1001200,108,6,B,A*
1004074,118,8,A,A*
1003561,111,6,B,A*
1008952,120,8,A,A*
